City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
124,Nanortalik,GL,60.1432,-45.2371,-5.78,55,99,1.27,Overcast Clouds,2021-11-11 06:08:48
125,Alofi,NU,-19.0595,-169.9187,25.66,79,100,5.25,Overcast Clouds,2021-11-11 06:08:49
126,Karasjok,NO,69.4719,25.5112,-1.94,93,86,1.2,Overcast Clouds,2021-11-11 06:08:49
127,Emba,KZ,48.8264,58.1442,1.39,91,100,8.1,Overcast Clouds,2021-11-11 06:08:50
128,Adrar,MR,20.5022,-10.0711,21.17,11,100,3.59,Overcast Clouds,2021-11-11 06:08:51
129,Baft,IR,29.234,56.6057,9.34,36,0,1.09,Clear Sky,2021-11-11 06:08:51
130,Ilulissat,GL,69.2167,-51.1,-10.99,44,20,9.26,Few Clouds,2021-11-11 06:08:52
131,Norman Wells,CA,65.282,-126.8329,-12.14,99,81,0.58,Broken Clouds,2021-11-11 06:08:53
132,Geraldton,AU,-28.7667,114.6,24.23,41,0,8.23,Clear Sky,2021-11-11 06:08:53
133,Lugovoy,KZ,42.9472,72.7644,10.68,37,0,2.44,Clear Sky,2021-11-11 06:08:54
134,Shingu,JP,33.7333,135.9833,17.15,55,9,4.99,Clear Sky,2021-11-11 06:08:55
135,Sao Filipe,CV,14.8961,-24.4956,24.44,74,35,2.81,Scattered Clouds,2021-11-11 06:08:55
136,Kokopo,PG,-4.352,152.2633,28.78,69,80,0.93,Light Rain,2021-11-11 06:08:56
137,Puerto Baquerizo Moreno,EC,-0.9,-89.6,20.52,90,93,4.35,Overcast Clouds,2021-11-11 06:08:56
138,Osakarovka,KZ,50.565,72.5692,0.79,38,100,7.13,Overcast Clouds,2021-11-11 06:09:57
139,Porto Belo,BR,-27.1578,-48.5531,20.54,84,100,3.59,Heavy Intensity Rain,2021-11-11 06:09:57
140,Narsipatnam,IN,17.6667,82.6167,25.67,71,96,5.73,Overcast Clouds,2021-11-11 06:09:09
141,Kloulklubed,PW,7.0419,134.2556,29.28,85,100,8.17,Overcast Clouds,2021-11-11 06:09:58
142,Arraial Do Cabo,BR,-22.9661,-42.0278,21.46,74,100,2.77,Overcast Clouds,2021-11-11 06:08:26
143,Chepareria,KE,1.3077,35.2039,21.31,54,90,0.57,Overcast Clouds,2021-11-11 06:09:59
144,Jiangyou,CN,31.7667,104.7167,15.68,48,72,2.17,Broken Clouds,2021-11-11 06:09:59
145,Grand-Santi,GF,4.25,-54.3833,21.61,100,58,0.95,Broken Clouds,2021-11-11 06:10:00
146,Bagan,RU,54.1001,77.6646,3.83,97,100,5.22,Light Rain,2021-11-11 06:10:01
147,Saint-Francois,FR,46.4154,3.9054,3.6,95,38,2.57,Scattered Clouds,2021-11-11 06:10:01
148,Vardo,NO,70.3705,31.1107,1.11,81,98,9.89,Overcast Clouds,2021-11-11 06:10:02
149,Emerald,AU,-23.5333,148.1667,31.66,30,96,7.78,Overcast Clouds,2021-11-11 06:10:03
150,Hobyo,SO,5.3505,48.5268,28.68,60,73,5.87,Broken Clouds,2021-11-11 06:06:20
151,Tabou,CI,4.423,-7.3528,24.61,90,87,0.63,Light Rain,2021-11-11 06:10:04
152,Saskylakh,RU,71.9167,114.0833,-32.76,100,78,1.61,Broken Clouds,2021-11-11 06:10:05
153,Galesong,ID,-5.3166,119.3661,30.01,69,94,3.8,Overcast Clouds,2021-11-11 06:08:09
154,Makakilo City,US,21.3469,-158.0858,24.2,70,20,1.54,Few Clouds,2021-11-11 06:10:06
