City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
412,Norton,ZW,22.38,Overcast Clouds,-17.8833,30.7,Chingwara Mansion
433,Gidole,ET,18.24,Scattered Clouds,5.65,37.3667,Shallom mekaneyesus church
436,Boundiali,CI,21.93,Overcast Clouds,9.5217,-6.4869,Hotel Paysan Boundiali
437,Zhongxing,CN,16.14,Clear Sky,33.7039,118.6792,New Century Grand Hotel Siyang
443,Belize,BZ,22.36,Few Clouds,17.25,-88.75,Villa San Juan
447,Iberia,US,18.87,Broken Clouds,29.9502,-91.7507,back to back rv park
456,Supe,PE,17.02,Scattered Clouds,-10.8,-77.7333,Hotel Mavars
460,Taltal,CL,15.27,Clear Sky,-25.4,-70.4833,Residencial Karime
464,Kikwit,CD,22.5,Overcast Clouds,-5.041,18.8162,HOTEL PLACE YALABA
465,Mbandaka,CD,22.74,Overcast Clouds,0.0487,18.2603,Guest House Epervier
468,Rio Grande,BR,17.01,Scattered Clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
470,Qujing,CN,15.4,Overcast Clouds,25.4833,103.7833,Yulong Hotel
472,Tairua,NZ,19.49,Broken Clouds,-37.0167,175.85,Pacific Harbour Villas
479,Tacoronte,ES,17.67,Few Clouds,28.4769,-16.4102,Casa Laurel
488,Batemans Bay,AU,21.22,Overcast Clouds,-35.7167,150.1833,Batemans Bay Marina Resort
489,Port Macquarie,AU,21.05,Moderate Rain,-31.4333,152.9167,Rydges Port Macquarie
490,Flinders,AU,16.14,Overcast Clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
498,Itanhandu,BR,18.39,Moderate Rain,-22.2958,-44.9347,Hotel casarão
512,Te Anau,NZ,16.96,Overcast Clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
513,Dubbo,AU,21.07,Overcast Clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
515,Boa Esperanca Do Sul,BR,17.91,Overcast Clouds,-21.9925,-48.3908,Pousada do Ipê
522,Lucapa,AO,21.18,Overcast Clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
524,Aguimes,ES,18.35,Few Clouds,27.9054,-15.4461,Hotel Villa de Aguimes
531,Ixtapa,MX,21.54,Clear Sky,20.7,-105.2,Hotel Plaza Providencia
534,Tapes,BR,17.52,Broken Clouds,-30.6733,-51.3958,Cabanas Camping Union
535,Cosamaloapan,MX,18.76,Clear Sky,18.3667,-95.8,Hotel Catedral
547,Ahipara,NZ,18.97,Broken Clouds,-35.1667,173.1667,Ahipara Holiday Park
