City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Kabanjahe,ID,2021-11-08 20:23:53,3.1001,98.4908,290.57,95,100,2.01
109,Ahuimanu,US,2021-11-08 20:23:53,21.4447,-157.8378,300.99,57,40,6.69
110,Deputatskiy,RU,2021-11-08 20:23:54,69.3,139.9,251.56,89,100,1.14
111,Sigulda,LV,2021-11-08 20:23:54,57.1519,24.8647,275.55,93,10,1.79
112,Upernavik,GL,2021-11-08 20:23:55,72.7868,-56.1549,259.03,68,1,1.89
113,Husavik,IS,2021-11-08 20:23:55,66.0449,-17.3389,277.1,79,29,6.23
114,Ponta Do Sol,PT,2021-11-08 20:23:56,32.6667,-17.1,293.5,70,2,2.23
115,Thompson,CA,2021-11-08 20:21:29,55.7435,-97.8558,275.24,80,20,5.66
116,Kayan,MM,2021-11-08 20:23:56,16.9056,96.5631,300.23,89,75,1.88
117,Kavieng,PG,2021-11-08 20:23:57,-2.5744,150.7967,301.3,77,56,5.9
118,Metro,ID,2021-11-08 20:23:57,-5.1131,105.3067,297.15,97,100,1.65
119,Kormilovka,RU,2021-11-08 20:23:58,55.0026,74.1028,269.01,74,100,3.33
120,Komsomolskiy,UZ,2021-11-08 20:23:58,40.4272,71.7189,276.83,69,40,0.0
121,Bitam,GA,2021-11-08 20:23:58,2.076,11.5007,294.53,98,100,1.25
122,Bengkulu,ID,2021-11-08 20:23:59,-3.8004,102.2655,298.15,89,100,4.73
123,Mitsamiouli,KM,2021-11-08 20:23:59,-11.3847,43.2844,300.18,78,1,4.52
124,Zabaykalsk,RU,2021-11-08 20:24:00,49.6333,117.3167,264.98,86,22,2.93
125,Alofi,NU,2021-11-08 20:24:00,-19.0595,-169.9187,300.09,74,75,5.66
126,Reconquista,AR,2021-11-08 20:24:01,-29.15,-59.65,302.34,40,3,3.06
127,Catio,GW,2021-11-08 20:24:01,11.2833,-15.25,300.31,81,99,3.22
128,Shimoda,JP,2021-11-08 20:24:02,34.6667,138.95,290.21,87,100,5.3
129,Tuktoyaktuk,CA,2021-11-08 20:24:03,69.4541,-133.0374,266.15,86,90,2.06
130,Quimper,FR,2021-11-08 20:24:03,48.0,-4.1,285.61,100,90,0.51
131,Sambava,MG,2021-11-08 20:24:04,-14.2667,50.1667,297.39,88,45,3.12
132,Balingasay,PH,2021-11-08 20:24:04,16.3573,119.8564,300.5,79,76,5.14
133,Doha,QA,2021-11-08 20:19:12,25.2867,51.5333,299.14,67,0,1.54
134,Bundaberg,AU,2021-11-08 20:24:05,-24.85,152.35,298.27,91,40,1.34
135,Iquique,CL,2021-11-08 20:24:05,-20.2208,-70.1431,291.17,67,25,2.15
136,Henties Bay,NA,2021-11-08 20:24:06,-22.116,14.2845,287.51,83,0,6.35
137,Itoman,JP,2021-11-08 20:25:06,26.1247,127.6694,293.16,78,75,9.26
138,Hilo,US,2021-11-08 20:21:42,19.7297,-155.09,299.15,76,90,3.6
139,Bredasdorp,ZA,2021-11-08 20:25:07,-34.5322,20.0403,284.97,82,6,2.57
140,Kaitangata,NZ,2021-11-08 20:25:07,-46.2817,169.8464,288.67,70,91,1.1
141,Sisimiut,GL,2021-11-08 20:25:08,66.9395,-53.6735,263.37,81,23,3.4
142,Kapoeta,SS,2021-11-08 20:25:08,4.7717,33.5903,299.15,57,100,1.13
143,Ucluelet,CA,2021-11-08 20:25:09,48.9329,-125.5528,281.53,87,100,1.79
144,Syedove,UA,2021-11-08 20:25:09,47.0768,38.156,285.93,94,100,4.9
145,Antsohihy,MG,2021-11-08 20:25:10,-14.8796,47.9875,300.32,74,56,0.95
146,Tiksi,RU,2021-11-08 20:25:10,71.6872,128.8694,264.74,79,100,7.68
147,Nirmali,IN,2021-11-08 20:25:11,26.3167,86.5833,292.98,70,70,1.84
148,Kudat,MY,2021-11-08 20:25:11,6.8837,116.8477,299.11,89,40,0.0
149,Muros,ES,2021-11-08 20:25:11,42.7762,-9.0603,288.7,90,66,4.7
150,Karratha,AU,2021-11-08 20:25:12,-20.7377,116.8463,293.22,59,35,7.57
